The Great Gatsby,F. Scott Fitzgerald,1001,1
To Kill a Mockingbird,Harper Lee,1002,1
1984,George Orwell,1003,1
Pride and Prejudice,Jane Austen,1004,1
The Catcher in the Rye,J.D. Salinger,1005,1
The Hobbit,J.R.R. Tolkien,1006,1
Fahrenheit 451,Ray Bradbury,1007,1
Jane Eyre,Charlotte Brontë,1008,1
Brave New World,Aldous Huxley,1009,1
Moby-Dick,Herman Melville,1010,1
War and Peace,Leo Tolstoy,1011,1
The Odyssey,Homer,1012,1
Crime and Punishment,Fyodor Dostoevsky,1013,1
Wuthering Heights,Emily Brontë,1014,1
The Divine Comedy,Dante Alighieri,1015,1

